title,popular_rank,startYear,runtime,type,origin_country,language,rating,US_country,English_language
Theo Von: No Offense,4575,2016,67,tvSpecial,United States,English,5.6,TRUE,TRUE
Gossip Girl,150,2007,42,tvSeries,United States,English,7.4,TRUE,TRUE
You,116,2018,45,tvSeries,United States,English,7.7,TRUE,TRUE
 Cobra Kai,6658,2021,32,tvEpisode,United States,English,8.2,TRUE,TRUE
Nocturama,2721,2016,130,movie,France,French,6.4,FALSE,FALSE
Tenkû no shiro Rapyuta,1027,1986,125,movie,Japan,Japanese,8,FALSE,FALSE
Mignonnes,1025,2020,96,movie,France,French,3.2,FALSE,FALSE
Le Petit Prince,1380,2015,108,movie,France,English,7.7,FALSE,TRUE
Samir Abu el-Nil,4911,2013,109,movie,Egypt,Arabic,4.4,FALSE,FALSE
Big Bear,2647,2017,88,movie,United States,English,5.1,TRUE,TRUE
Dave Attell: Road Work,5743,2014,60,tvSpecial,United States,English,7.5,TRUE,TRUE
Shirkers,3043,2018,97,movie,United States,English,7.4,TRUE,TRUE
Ender's Game,607,2013,114,movie,United States,English,6.6,TRUE,TRUE
La Corazonada,2151,2020,116,movie,Argentina,Spanish,5.3,FALSE,FALSE
Geunyeoneun yeppeodda,2146,2015,60,tvSeries,South Korea,Korean,7.7,FALSE,FALSE
Fortune Feimster: Sweet & Salty,4802,2020,61,tvSpecial,United States,English,6.9,TRUE,TRUE
Ugly Duckling Series: Pity Girl,5796,2015,50,tvSeries,Thailand,Thai,6.5,FALSE,FALSE
Indie Game: Life After,5301,2016,125,movie,Canada,English,5.7,FALSE,TRUE
A Killer Uncaged,3836,2020,104,tvSeries,United Kingdom,English,5.2,FALSE,TRUE
Un-myeong-cheol-eom neol sa-rang-hae,2636,2014,60,tvSeries,South Korea,Korean,7.9,FALSE,FALSE
Jachebalgwang Opiseu,5007,2017,65,tvSeries,South Korea,Korean,7,FALSE,FALSE
Mujeres Arriba,4541,2020,100,movie,Chile,Spanish,3.8,FALSE,FALSE
Den osynlige,3354,2002,101,movie,Sweden,Swedish,6.4,FALSE,FALSE
The Remix: Hip Hop X Fashion,5200,2019,67,movie,United States,English,7.2,TRUE,TRUE
Word Party,3153,2016,11,tvSeries,United States,English,5.9,TRUE,TRUE
Shadow of Truth,4097,2016,40,tvMiniSeries,Israel,Hebrew,8,FALSE,FALSE
"Oh, Hello on Broadway",3040,2017,102,tvMovie,United States,English,7.7,TRUE,TRUE
Kkondae Intern,3960,2020,32,tvSeries,South Korea,Korean,7.5,FALSE,FALSE
Ergo Proxy,1679,2006,25,tvSeries,Japan,Japanese,8,FALSE,FALSE
Super Why!,2160,2007,30,tvSeries,Canada,English,6.1,FALSE,TRUE
Sword Art Online,450,2012,24,tvSeries,Japan,Japanese,7.6,FALSE,FALSE
Safe,541,2018,356,tvSeries,United Kingdom,English,7.3,FALSE,TRUE
The Dark Crystal: Age of Resistance,682,2019,60,tvSeries,United Kingdom,English,8.4,FALSE,TRUE
Aggretsuko,2067,2018,15,tvSeries,Japan,English,8.1,FALSE,TRUE
Clarence,1688,2013,23,tvSeries,United States,English,6.6,TRUE,TRUE
Archer,186,2009,22,tvSeries,United States,English,8.6,TRUE,TRUE
Catching Feelings,3430,2017,124,movie,South Africa,English,5.7,FALSE,TRUE
Yat nim mou ming,3082,2016,101,movie,Hong Kong,Cantonese,7.2,FALSE,FALSE
Las leyes de la termodinámica,3276,2018,100,movie,Spain,Spanish,6.1,FALSE,FALSE
Rango,455,2011,107,movie,United States,English,7.2,TRUE,TRUE
Zhong ji san guo,5767,2009,75,tvSeries,Taiwan,Mandarin,5.4,FALSE,FALSE
Next in Fashion,2718,2020,50,tvSeries,United States,English,7.3,TRUE,TRUE
Reggie Watts: Spatial,5510,2016,61,tvSpecial,United States,English,6.1,TRUE,TRUE
To All the Boys: Always and Forever,797,2021,109,movie,United States,English,6.3,TRUE,TRUE
Omoide no Mânî,1311,2014,103,movie,Japan,Japanese,7.7,FALSE,FALSE
Theo Maassen: Vankwaadtoterger,5725,2017,87,tvSpecial,Netherlands,Dutch,7.6,FALSE,FALSE
Black Ink Crew,2153,2012,42,tvSeries,United States,English,4.6,TRUE,TRUE
Dave Chappelle,4875,2017,66,tvSeries,United States,English,8.7,TRUE,TRUE
Take the 10,2886,2017,80,movie,United States,English,4.8,TRUE,TRUE
 Lady Dynamite,11682,2016,35,tvEpisode,United States,English,7.1,TRUE,TRUE
Seperti Hujan yang Jatuh ke Bumi,4567,2020,86,movie,Indonesia,Indonesian,5,FALSE,FALSE
Until Dawn,5021,2020,22,tvSeries,France,French,2.7,FALSE,FALSE
Titans,91,2018,45,tvSeries,United States,English,7.7,TRUE,TRUE
Unbreakable Kimmy Schmidt,381,2015,30,tvSeries,United States,English,7.6,TRUE,TRUE
Soupçons,973,2004,629,tvSeries,France,English,7.9,FALSE,TRUE
Ajeeb Daastaans,891,2021,142,movie,India,Hindi,6.7,FALSE,FALSE
Dérapages,1597,2020,52,tvMiniSeries,France,French,7.1,FALSE,FALSE
La luna sangre,3657,2017,30,tvSeries,Philippines,Filipino,5.9,FALSE,FALSE
Terrifier,1002,2016,82,movie,United States,English,5.6,TRUE,TRUE
Strike a Pose,4183,2016,83,movie,Netherlands,English,7.2,FALSE,TRUE
2001: A Space Odyssey,301,1968,149,movie,United Kingdom,English,8.3,FALSE,TRUE
Good Witch,149,2015,48,tvSeries,Canada,English,7.3,FALSE,TRUE
How to Fix a Drug Scandal,2955,2020,211,tvMiniSeries,United States,English,7,TRUE,TRUE
Sextuplets,1759,2019,97,movie,United States,English,4.4,TRUE,TRUE
Los favoritos de Midas,1295,2020,316,tvMiniSeries,Spain,Spanish,6.6,FALSE,FALSE
Bill Nye Saves the World,3835,2017,30,tvSeries,United States,English,3.6,TRUE,TRUE
Amateur,2244,2018,96,movie,United States,English,5.9,TRUE,TRUE
Dry,4140,2015,107,movie,United Kingdom,English,7.2,FALSE,TRUE
The Highwaymen,452,2019,132,movie,United States,English,6.9,TRUE,TRUE
Alex Fernández: El mejor comediante del mundo,5781,2020,51,tvSpecial,Mexico,Spanish,6.2,FALSE,FALSE
Rák Màt-nàk,3630,2020,45,tvSeries,Thailand,Thai,7.1,FALSE,FALSE
Ask the Doctor,4134,2017,28,tvSeries,Australia,English,6.5,FALSE,TRUE
Bottom of the World,3307,2017,85,movie,Canada,English,5.3,FALSE,TRUE
Chappelle's Show,970,2003,22,tvSeries,United States,English,8.8,TRUE,TRUE
Hubie Halloween,521,2020,102,movie,United States,English,5.2,TRUE,TRUE
The Music of Strangers,4066,2015,96,movie,United States,English,7.7,TRUE,TRUE
The Hurt Business,5284,2016,107,movie,United States,English,6.4,TRUE,TRUE
 Five Came Back,13436,2017,59,tvEpisode,United States,English,8.3,TRUE,TRUE
People Like Us,1763,2012,114,movie,United States,English,7.1,TRUE,TRUE
V/H/S Viral,2359,2014,81,movie,United States,English,4.2,TRUE,TRUE
V-Wars,989,2019,60,tvSeries,United States,English,6.1,TRUE,TRUE
Si shi qing chun,2225,2018,74,movie,China,Mandarin,6.6,FALSE,FALSE
Queen Sono,2585,2020,43,tvSeries,South Africa,Russian,6,FALSE,FALSE
Monty Don's Italian Gardens,4996,2011,59,tvSeries,United Kingdom,English,8.4,FALSE,TRUE
 The Hour,9937,2011,59,tvEpisode,United Kingdom,English,7.8,FALSE,TRUE
The Mitchells vs the Machines,18,2021,113,movie,United States,English,7.8,TRUE,TRUE
Bed & Breakfast: Love is a Happy Accident,4010,2010,89,movie,United States,English,5.1,TRUE,TRUE
La Frecuencia Kirlian,3798,2017,9,tvSeries,Argentina,Spanish,7.6,FALSE,FALSE
The Most Hated Woman in America,1887,2017,91,movie,United States,English,6.1,TRUE,TRUE
Cheese in the Trap,2024,2016,60,tvSeries,South Korea,Korean,7.4,FALSE,FALSE
All on the Line,5935,2011,60,tvSeries,United States,English,7.8,TRUE,TRUE
KL Zombi,4076,2013,97,movie,Malaysia,Malay,4.5,FALSE,FALSE
